WAAS Subset Event Id,Local Event Date,Aircraft,Aircraft Operator,Event Location,Crew Fatalities,Crew Injured,Crew Aboard,PAX Fatalities,PAX Injuries,PAX Aboard
J1995084,1995-08-09,BOEING 737-200 ADV.,AVIATECA,"MT. CHICHONTEPEC, NR. SAN SALVADOR, SV",7,0,7,58,0,58
J1995090,1995-11-13,BOEING 737-200 ADV.,NIGERIA AIRWAYS,"KADUNA AP.,  KADUNA, NG",0,0,8,9,4,129
J1995094,1995-12-03,BOEING 737-200 ADV.,CAMEROON AIRLINES,"NR. DOUALA, CM",4,2,6,68,4,72
J1996006,1996-02-06,BOEING 757-200,BIRGENAIR,"IN ATLANTIC OCEAN, 22KM N OF  PUERTO PLATA, DO",13,0,13,176,0,176
J1996007,1996-02-29,BOEING 737-200,FAUCETT,"NR. RODRIQUEZ BALLON AP.,  AREQUIPA, PE",6,0,6,117,0,117
J19960077,1996-09-05,BOEING 747-400,AIR FRANCE,"NR. OUAGADOUGOU, BF",0,0,18,1,2,206
J1996014,1996-05-11,DOUGLAS DC-9-32,VALUJET,"IN EVERGLADES, 25KM W OF  OPA LOCKA,  FLORIDA, US",5,0,5,105,0,105
J1996024,1996-06-13,DOUGLAS DC-10-30,GARUDA INDONESIA,"FUKUOKA AP.,  FUKUOKA,  FUKUOKA PREFECTURE, JP",0,2,15,3,16,260
J1996025,1996-07-17,BOEING 747-100,TRANS WORLD AIRLINES,"OFF MORICHES INLET, NR. MASTIC BEACH,  NEW YORK, US",18,0,18,212,0,212
J1996027,1996-07-06,DOUGLAS MD-88,DELTA AIR LINES,"PENSACOLA REGIONAL AP.,  PENSACOLA,  FLORIDA, US",0,0,5,2,2,137
J1996031,1996-10-02,BOEING 757-200,AERO PERU,"IN SEA, OFF ANCON, PE",9,0,9,61,0,61
J1996038,1996-10-31,FOKKER 100,TAM - TRANSPORTES AÉREOS REGIONAIS SA,"PARQUE JABAQUARA DISTRICT,  SAO PAULO, BR",6,0,6,89,0,89
J1996039,1996-11-12,BOEING 747-100B,SAUDI ARABIAN AIRLINES,"NR. CHARKHI DADRI, 83KM W OF  DELHI, IN",23,0,23,289,0,289
J1996040,1996-11-07,BOEING 727-200,ADC AIRLINES,"EJIRIN LAGOON, 40KM ENE OF  LAGOS, NG",9,0,9,134,0,134
J1996042,1996-11-23,BOEING 767-200ERM,ETHIOPIAN AIRLINES,"OFF LE GALAWA BEACH, 25KM N OF  MORONI,  GRANDE COMORE ISLAND, KM",10,0,12,117,5,163
J1997011,1997-05-08,BOEING 737-300,CHINA SOUTHERN AIRLINES,"HUANGTIAN INTL. AP.,  SHENZHEN,  GUANGDONG, CN",2,0,9,33,0,65
J1997020,1997-07-09,FOKKER 100,TAM - TRANSPORTES AÉREOS REGIONAIS SA,"NR. SUZANO, BR",0,0,5,1,0,55
J1997024,1997-08-06,BOEING 747-300,KOREAN AIR,"NIMITZ HILL, NR. AGANA, GU",14,3,17,215,22,237
J1997037,1997-09-26,AIRBUS A300 B4-220F,GARUDA INDONESIA,"NR. MEDAN, ID",12,0,12,222,0,222
J1997040,1997-10-10,DOUGLAS DC-9-32,AUSTRAL,"ARROYO SANCHEZ, NR. FRAY BENTOS, UY",5,0,5,69,0,69
J1997051,1997-12-19,BOEING 737-300,SILKAIR,"MUSI RIVER,, 56KM FROM  PALEMBANG, ID",7,0,7,97,0,97
J1997052,1997-12-28,BOEING 747-100,UNITED AIRLINES,"1750KM E OF  TOKYO, JP",0,3,19,1,15,374
J1998003,1998-02-02,DOUGLAS DC-9-32,CEBU PACIFIC AIR,"MT SUMAGAYA, NR. CAGAYAN DE ORO,  MINDANAO, PH",5,0,5,99,0,99
J1998007,1998-02-16,AIRBUS A300-620R,CHINA AIRLINES,"CHIANG KAI SHEK INTL. AP.,  TAIPEI, TW",14,0,14,182,0,182
J1998014,1998-03-19,BOEING 727-200 ADV.,ARIANA AFGHAN AIRLINES,"MT. SHAKHI BARANTA, NR. KABUL, AF",10,0,10,35,0,35
J1998019,1998-04-20,BOEING 727-200 ADV.,TAME ECUADOR,"CERRO EL CABLE, NR. BOGOTA, CO",10,0,10,43,0,43
J1998041,1998-09-02,DOUGLAS MD-11,SWISSAIR,"IN SEA, 9KMOF FF PEGGY'S COVE,  NOVA SCOTIA, CA",14,0,14,215,0,215
J1998046,1998-09-25,"BRITISH AEROSPACE 
146-100",PAUKN AIR,"CAP TRES FORCAS AREA, NR. MELILLA, MA",4,0,4,34,0,34
J1998057,1998-10-10,BOEING 727-100,CONGO AEROSPACE,"NR. KINDU, CD",3,0,3,38,0,38
J1998067,1998-12-11,AIRBUS A310-200,THAI INTERNATIONAL,"SURAT THANI AP.,  SURAT THANI, TH",11,0,14,91,0,132
J1999053,1999-06-01,DOUGLAS MD-82,AMERICAN AIRLINES,"NATIONAL AP. (ADAMS FIELD),  LITTLE ROCK,  ARKANSAS, US",1,4,6,10,41,139
J1999062,1999-08-24,DOUGLAS MD-90-30,UNI AIR,"HUALIEN AP.,  HUALIEN, TW",0,0,6,1,13,90
J1999064,1999-08-31,BOEING 737-200C,LAPA,"AEROPARQUE JORGE NEWBERY,  BUENOS AIRES, AR",3,0,5,60,15,95
J1999068,1999-08-22,DOUGLAS MD-11,CHINA AIRLINES,"CHEP LAP KOK INTL. AP.,  HONG KONG, HK",0,6,15,3,44,300
J1999069,1999-09-14,BOEING 757-200,BRITANNIA AIRWAYS,"COSTA BRAVA AP.,  GERONA, ES",0,0,9,1,2,236
J1999080,1999-10-31,BOEING 767-300ER,EGYPTAIR,"NORTH ATLANTIC OCEAN, 100KM S OF  NANTUCKET ISLAND,  MASSACHUSETTS, US",14,0,14,203,0,203
J1999081,1999-11-09,DOUGLAS DC-9-31CF(M),TAESA,"NR. URUAPAN, MX",5,0,5,13,0,13
J1999092,1999-12-21,DOUGLAS DC-10-30,CUBANA,"LA AURORA AP.,  GUATEMALA CITY, GT",8,0,18,8,0,296
J2000001,2000-01-31,DOUGLAS MD-83,ALASKA AIRLINES,"IN SEA, OFF POINT MUGU,  CALIFORNIA, US",5,0,5,83,0,83
J2000002,2000-01-30,AIRBUS A310-300,KENYA AIRWAYS,"IN SEA, OFF ABIDJAN, CI",10,0,10,159,0,169
J2000024,2000-04-19,BOEING 737-200 ADV.,AIR PHILIPPINES,"SAMAL ISLAND, NR. DAVAO, PH",7,0,7,124,0,124
J2000039,2000-07-25,BAC/SUD CONCORDE,AIR FRANCE,"GONESSE, NR. PARIS, FR",9,0,9,100,0,100
J2000040,2000-07-17,BOEING 737-200 ADV.,ALLIANCE AIR,"GARDANIBAGH DISTRICT,  PATNA, IN",6,0,6,49,2,52
J2000045,2000-08-23,AIRBUS A320-210,GULF AIR,"NR. AL MANAMA, BH",8,0,8,135,0,135
J2000052,2000-10-31,BOEING 747-400,SINGAPORE AIRLINES,"CHIANG KAI SHEK INTL. AP.,  TAIPEI, TW",4,4,20,79,35,159
J2001065,2001-09-11,BOEING 767-200ER,AMERICAN AIRLINES,"NORTH TOWER, WORLD TRADE CENTER,  NEW YORK,  NEW YORK, US",11,0,11,81,0,81
J2001066,2001-09-11,BOEING 757-200,AMERICAN AIRLINES,"THE PENTAGON,  ARLINGTON,  VIRGINIA, US",6,0,6,58,0,58
J2001067,2001-09-11,BOEING 757-200,UNITED AIRLINES,"STONEY CREEK TOWNSHIP, NR. SOMERSET,  PENNSYLVANIA, US",7,0,7,37,0,37
J2001068,2001-09-11,BOEING 767-200,UNITED AIRLINES,"SOUTH TOWER, WORLD TRADE CENTER,  NEW YORK,  NEW YORK, US",9,0,9,56,0,56
J2001072,2001-10-08,DOUGLAS MD-87,SAS,"LINATE AP.,  MILAN, IT",6,0,6,104,0,104
J2001080,2001-11-12,AIRBUS A300-600R,AMERICAN AIRLINES,"BELLE HARBOR, QUEENS,  NEW YORK,  NEW YORK, US",9,0,9,251,0,251
J2001081,2001-09-15,FOKKER 100,TAM LINHAS AEREAS,"132KM FROM  BELO HORIZONTE, BR",0,0,6,1,0,82
J2001082,2001-11-24,AVRO RJ100,CROSSAIR,"GEISSBUHL, NR. ZURICH, CH",3,1,5,21,4,28
J2002003,2002-01-28,BOEING 727-100,TAME ECUADOR,"VOLCAN CUMBAL, NR. IPIALES, CO",9,0,9,83,0,83
J2002015,2002-04-15,BOEING 767-200ER,AIR CHINA,"NR. KIMHAE INTL. AP.,  PUSAN, KR",8,3,11,120,25,155
J2002017,2002-05-04,BAC ONE-ELEVEN 500,EAS AIRLINES,"GWAMMAJA DISTRICT,  KANO, NG",6,1,7,67,1,70
J2002018,2002-05-07,BOEING 737-500,EGYPTAIR,"NR. TUNIS, TN",3,0,6,11,0,56
J2002019,2002-05-07,DOUGLAS MD-82,CHINA NORTHERN AIRLINES,"IN SEA, OFF DALIAN, CN",9,0,9,103,0,103
J2002022,2002-05-25,BOEING 747-200B,CHINA AIRLINES,"IN SEA, 38KM N OF  PENGHU ISLANDS, TW",19,0,19,206,0,206
J2003002,2003-01-08,AVRO RJ100,THY - TURKISH AIRLINES,"DIYARBAKIR, TR",5,0,5,70,5,75
J2003003,2003-01-09,FOKKER F.28-1000,TANS-TRANSPORTES AEREOS NACIONALES DE LA SELVA,"CERRO COLORQUE, NR. CHACHAPOYAS, PE",5,0,5,41,0,41
J2003014,2003-03-06,BOEING 737-200 ADV.,AIR ALGERIE,"AGUENAR AP.,  TAMANRASSET, DZ",6,0,6,97,1,98
J2003119,2003-07-08,BOEING 737-200C ADV.,SUDAN AIRWAYS,"NR. PORT SUDAN, SD",11,0,11,105,1,106
J2003155,2003-12-25,BOEING 727-200 ADV.,UTA GUINEE,"CADJEHOUN AP.,  COTONOU, BJ",5,5,10,136,17,153
J2004001,2004-01-03,BOEING 737-300,FLASH AIRLINES,"IN MADIQ TIRAN, OFF SHARM EL-SHEIKH, EG",7,0,7,141,0,141
J2004068,2004-11-21,CANADAIR RJ 200LR,CHINA EASTERN AIRLINES YUNNAN,"BAOTOU AP.,  BAOTOU, CN",6,0,6,47,0,47
J2004072,2004-11-30,DOUGLAS MD-82,LION AIRLINES,"ADI SUMARMO AP.,  SOLO,  JAVA, ID",2,3,7,23,56,156
J2005007,2005-02-03,BOEING 737-200 ADV.,KAM AIR,"CHAPERI GHAR, NR. KABUL, AF",6,0,6,98,0,98
J2005022,2005-04-20,BOEING 707-320C,SAHA AIR,"MEHRABAD INTL. AP.,  TEHRAN, IR",0,0,16,3,0,157
J2005050,2005-08-14,BOEING 737-300,HELIOS AIRWAYS,"NR. GRAMMATIKOS, GR",6,0,6,115,0,115
J2005051,2005-08-16,DOUGLAS MD-82,WEST CARIBBEAN AIRWAYS,"NR. MACHIQUES,  ZULIA, VE",8,0,8,152,0,152
J2005053,2005-08-23,BOEING 737-200 ADV.,TANS-TRANSPORTES AEREOS NACIONALES DE LA SELVA,"NR. PUCALLPA, PE",5,0,7,35,0,91
J2005062,2005-09-05,BOEING 737-200 ADV.,MANDALA AIRLINES,"POLONIA AP.,  MEDAN,  SUMATRA, ID",5,0,5,95,15,112
J2005068,2005-10-22,BOEING 737-200 ADV.,BELLVIEW AIRLINES,"NR. LISA, NG",6,0,6,111,0,111
J2005083,2005-12-10,DOUGLAS DC-9-32,SOSOLISO AIRLINES,"PORT HARCOURT INTL. AP.,  PORT HARCOURT, NG",7,0,7,101,2,103
J2006015,2006-05-03,AIRBUS A320-210,ARMAVIA,"IN BLACK SEA, OFF SOCHI, RU",8,0,8,105,0,105
J2006041,2006-07-09,AIRBUS A310-320,S7 AIRLINES,"IRKUTSK INTL. AP.,  IRKUTSK, RU",5,3,8,120,38,195
J2006052,2006-08-27,CANADAIR RJ 100,COMAIR,"BLUE GRASS AP.,  LEXINGTON,  KENTUCKY, US",2,1,3,47,0,47
J2006065,2006-09-29,BOEING 737-800,GOL LINHAS AEREAS,"NR. PEIXOTE AZEVEDO, BR",6,0,6,148,0,148
J2006068,2006-10-10,"BRITISH AEROSPACE 
146-200",ATLANTIC AIRWAYS (FAROE ISLANDS),"SORSTOKKEN AP.,  STORD, NO",1,0,3,3,6,13
J2006078,2006-10-29,BOEING 737-200 ADV.,ADC AIRLINES,"ABUJA INTL. AP.,  ABUJA, NG",4,1,5,92,7,100
J2007001,2007-01-01,BOEING 737-400,ADAM AIR,"MAKASSAR STRAIT, OFF MAKASSAR, ID",6,0,6,96,0,96
J2007017,2007-03-07,BOEING 737-400,GARUDA INDONESIA,"ADISUTJIPTO AP.,  YOGYAKARTA,  JAWA, ID",1,1,7,20,11,133
J2007030,2007-05-05,BOEING 737-800,KENYA AIRWAYS,"NR. DOUALA, CM",6,0,6,108,0,108
J2007044,2007-06-28,BOEING 737-200 ADV.,TAAG - ANGOLA AIRLINES,"M'BANZA CONGO AP.,  M'BANZA CONGO, AO",1,0,7,4,0,78
J2007050,2007-07-17,AIRBUS A320-230,TAM LINHAS AEREAS,"CONGONHAS INTL. AP.,  SAO PAULO, BR",6,0,6,181,0,181
J2007065,2007-09-16,DOUGLAS MD-82,ONE-TWO-GO,"PHUKET INTL. AP.,  PHUKET, TH",5,2,7,85,38,123
J2007085,2007-11-30,DOUGLAS MD-83,ATLASJET AIRLINES,"NR. ISPARTA, TR",7,0,7,50,0,50
J2008024,2008-04-15,DOUGLAS DC-9-51,HEWA BORA AIRWAYS,"GOMA INTL. AP.,  GOMA, CD",0,0,7,15,58,79
J2008036,2008-05-30,AIRBUS A320-230,TACA INTERNATIONAL AIRLINES,"TONCONTIN INTL. AP.,  TEGUCIGALPA, HN",1,0,6,2,60,129
J2008037,2008-06-10,AIRBUS A310-320,SUDAN AIRWAYS,"KHARTOUM INTL. AP.,  KHARTOUM, SD",1,0,11,29,0,203
J2008063,2008-08-20,DOUGLAS MD-82,SPANAIR,"BARAJAS INTL. AP.,  MADRID, ES",6,0,6,148,18,166
J2008064,2008-08-24,BOEING 737-200 ADV.,ITEK AIR,"DZHANY-DZHER, NR. BISHKEK, KG",0,0,6,65,0,84
J2008071,2008-09-14,BOEING 737-500,AEROFLOT-NORD,"NR. PERM, RU",6,0,6,82,0,82
J2009012,2009-02-25,BOEING 737-800,TURKISH AIRLINES (THY),"NR. SCHIPHOL AP.,  AMSTERDAM, NL",4,0,7,5,28,127
J2009031,2009-06-01,AIRBUS A330-200,AIR FRANCE,"ATLANTIC OCEAN, NE OF  NATAL, BR",12,0,12,216,0,216
J2009089,2009-06-30,AIRBUS A310-320,YEMENIA,"IN SEA, OFF GRAND COMORE ISLAND, KM",11,0,11,141,1,142
J2009129,2009-11-12,CANADAIR RJ 100,RWANDAIR,"GREGOIRE KAYIBANDA AP.,  KIGALI, RW",0,2,5,1,0,10
J2010007,2010-01-25,BOEING 737-800,ETHIOPIAN AIRLINES,"IN MEDITERRANEAN SEA, OFF NAAMEH, LB",8,0,8,82,0,82
J2010043,2010-05-12,AIRBUS A330-200,AFRIQIYAH AIRWAYS,"TRIPOLI, LY",11,0,11,92,1,93
J2010045,2010-05-22,BOEING 737-800,AIR INDIA EXPRESS,"BAJPE AP.,  MANGALORE, IN",6,0,6,152,3,160
J2010059,2010-07-28,AIRBUS A321-230,AIRBLUE,"MARGALLA HILLS, NR. ISLAMABAD, PK",6,0,6,146,0,146
J2010067,2010-08-16,BOEING 737-700,AIRES COLOMBIA,"SESQUICENTENARIO AP.,  SAN ANDRES ISLAND, CO",0,0,6,2,12,125
J2010071,2010-08-24,EMBRAER 190 LR,HENAN AIRLINES,"LINDU AP.,  YICHUN CITY, CN",3,1,5,39,17,91
J2011001,2011-01-09,BOEING 727-200 ADV.,IRAN AIR,"NR. ORUMIYEH, IR",9,1,10,69,26,95
J2011015,2011-04-04,CANADAIR RJ 100,AIRZENA - GEORGIAN AIRWAYS,"N'DJILI INTL. AP.,  KINSHASA, CD",4,0,4,28,1,29
J2011038,2011-07-08,BOEING 727-100,HEWA BORA AIRWAYS,"BANGOKA INTL. AP.,  KISANGANI, CD",4,0,6,79,0,112
J2011045,2011-08-20,BOEING 737-200 ADV.,FIRST AIR,"NR. RESOLUTE BAY,  NUNAVUT, CA",4,0,4,8,3,11
J2012014,2012-04-20,BOEING 737-200 ADV.,BHOJA AIR,"HUSSAIN ABAD, NR. ISLAMABAD, PK",6,0,6,121,0,121
J20120195,2012-12-25,FOKKER 100,AIR BAGAN,"HEHO, MM",0,2,6,1,7,65
J2012025,2012-06-03,DOUGLAS MD-83,DANA AIR,"LAGOS, NG",6,0,6,147,0,147
J20130001,2013-01-29,CANADAIR RJ 200LR,SCAT,"ALMATY INTL. AP.,  ALMATY, KZ",5,0,5,16,0,16
J20130030,2013-07-06,BOEING 777-200ER,ASIANA AIRLINES,"SAN FRANCISCO INTL. AP.,  SAN FRANCISCO,  CALIFORNIA, US",0,6,16,3,41,291
J20130055,2013-11-17,BOEING 737-500,TATARSTAN AIR,"KAZAN AP.,  KAZAN, RU",6,0,6,44,0,44
J20130058,2013-11-29,EMBRAER 190 AR,LINHAS AEREAS DE MOCAMBIQUE,"BWABWATA NATIONAL PARK, 200KM E OF  RUNDU, NA",6,0,6,27,0,27
J20140018,2014-03-08,BOEING 777-200ER,MALAYSIA AIRLINES,"MISSING,  SOUTHERN INDIAN OCEAN, 00",12,0,12,227,0,227
J20140054,2014-06-24,AIRBUS A310-320,PAKISTAN INTERNATIONAL AIRLINES,"PESHAWAR AP.,  PESHAWAR, PK",0,1,12,1,0,178
J20140061,2014-07-17,BOEING 777-200ER,MALAYSIA AIRLINES,"NR. HRABOVE, 80KM ENE OF  DONETSK, UA",15,0,15,283,0,283
J20140069,2014-07-24,DOUGLAS MD-83,AIR ALGERIE,"SE OF  GOSSI, ML",6,0,6,110,0,110
J20140107,2014-12-28,AIRBUS A320-210,INDONESIA AIRASIA,"KARIMATA STRAIT, OFF PULAU BELITUNG, ID",6,0,6,156,0,156
J20150010,2015-03-24,AIRBUS A320-210,GERMANWINGS,"NR. PRADS-HAUTE-BLEONE,  ALPES-DE-HAUTE PROVENCE, FR",6,0,6,144,0,144
J20150058,2015-10-31,AIRBUS A321-230,METROJET,"SINAI DESERT, 113KM S OF  AL-ARISH, EG",7,0,7,217,0,217
J20160003,2016-02-02,AIRBUS A321-110,DAALLO AIRLINES,"NR. MOGADISHU, SO",0,0,7,1,1,74
J20160014,2016-03-19,BOEING 737-800,FLYDUBAI,"ROSTOV-ON-DON AP.,  ROSTOV-ON-DON,  ROSTOV OBLAST, RU",7,0,7,55,0,55
J20160029,2016-05-19,AIRBUS A320-230,EGYPTAIR,"IN MEDITERRANEAN SEA, 283KMM N OF  ALEXANDRIA, EG",7,0,7,59,0,59
S1990001,1990-01-13,TUPOLEV TU-134A,AEROFLOT - PRIVOLZHSKOYE DIRECTORATE,"NR. PERVOURALSK,  RUSSIA, SU",4,1,6,23,30,65
S1990002,1990-03-23,ANTONOV AN-26,CUBANA,"ANTONIO MACEO AP.,  SANTIAGO DE CUBA, CU",0,0,5,4,17,41
S1990006,1990-08-01,YAKOVLEV YAK-40,AEROFLOT - AZERBAIJAN DIRECTORATE,"NR. AGDAM,  AZERBAIJAN, SU",4,0,4,26,0,26
S1990007,1990-10-24,YAKOVLEV YAK-40,CUBANA,"PUNTA JARDINEIRO AREA, NR. SANTIAGO DE CUBA, CU",2,3,7,11,7,24
S1990008,1990-09-13,YAKOVLEV YAK-42,AEROFLOT - SVERDLOVSK DIRECTORATE?,"KOLTSOVO AP.,  SVERDLOVSK,  RUSSIA, SU",1,4,5,3,27,124
S19900134,1990-07-12,"PBN BN-2A 
ISLANDER",EAGLE AIR SERVICE,"UNION ISLAND AP.,  CLIFTON,  UNION ISLAND, VC",1,0,1,1,0,1
S19900196,1990-07-05,"PBN BN-2B 
ISLANDER",DOUGLAS AIRWAYS,"NR. PORT MORESBY, PG",1,0,1,7,0,11
S1990034,1990-01-26,ANTONOV AN-24RV,MONGOLIAN AIRLINES,"NR. ULIASTAI,  ZAVKHAN, MN",5,0,5,25,0,25
S1990052,1990-02-28,"PIPER PA-31T 
CHEYENNE II",AERO SAN MARTIN,"TOCACHE, PE",1,0,1,1,0,1
S1990062,1990-09-11,"CESSNA 441 
CONQUEST II",NUNA AIR A/S,"148KM SW OF  SONDRE STROMFJORD, GL",2,0,2,6,0,6
S1990070,1990-11-22,BEECH 200 KING AIR,GSW CHARTERFLUG GMBH,"MT. KELLER JOCH, NR. INNSBRUCK, AT",2,0,2,1,0,1
S1991004,1991-03-23,ANTONOV AN-24B,AEROFLOT - UZBEK DIRECTORATE?,"NAVOI AP.,  NAVOI,  UZBEKISTAN, SU",4,0,4,30,29,59
S1991005,1991-05-23,TUPOLEV TU-154B,AEROFLOT - LENINGRAD DIRECTORATE,"PULKOVO AP.,  LENINGRAD,  RUSSIA, SU",0,1,7,13,38,174
S1991006,1991-11-07,YAKOVLEV YAK-40,AEROFLOT,"NR. MAKHACHKALA,  RUSSIA, SU",4,0,4,47,0,47
S1991011,1991-11-26,ANTONOV AN-24,AEROFLOT,"BUGULMA,  RUSSIA, SU",4,0,4,37,0,37
S19910173,1991-08-06,"PBN BN-2A 
ISLANDER",AVALKI AIR,"IN SEA OFF RAROTONGA, CK",1,0,2,5,0,8
S19910174,1991-08-20,"PBN BN-2A 
ISLANDER",TEMSCO HELICOPTERS INC.,"NR. KETCHEKAN,  ALASKA, US",1,0,1,3,0,3
S19910175,1991-09-03,"PBN BN-2A 
ISLANDER",DIRGANTARA AIR SERVICE,"SAMPIT,  KALIMANTAN, ID",2,0,2,1,7,8
S19910176,1991-10-25,"PBN BN-2A-III 
TRISLANDER",BALI INTERNATIONAL AIR SERVICE,"(MISSING), ID",1,0,1,16,0,16
S19910182,1991-07-25,"PBN BN-2A 
ISLANDER",VANAIR,"NR. NOGOUGOU,  ESPIRITU SANTO, VU",1,0,1,8,0,8
S19910190,1991-05-05,"CESSNA 404 
TITAN",NILE SAFARIS AVIATION,"NR. AWEIL, SD",1,0,1,7,0,7
S1991044,1991-10-11,BEECH A90 KING AIR,AERO CONDOR SA,"RIO ALTO MADRE DE DIOS, NR. MANU,  MADRE DE DIOS, PE",1,0,1,3,0,3
S1991060,1991-10-27,COMMANDER 690C,TAE-TRANSPORTES AEREO EJECTIVO,"MISSING, EC",1,0,1,6,0,6
S1992006,1992-11-14,YAKOVLEV YAK-40,VIETNAM AIRLINES,"NR. NHA TRANG, VN",6,0,6,24,1,25
S1992010,1992-07-31,YAKOVLEV YAK-42,CHINA GENERAL AVIATION,"NAN JING AP.,  NAN JING,  JIANGSU, CN",9,1,10,98,18,116
S1992011,1992-11-15,ILYUSHIN IL-18,AEROCARIBBEAN,"LOMA DE ISABEL DE TORRES, NR. PUERTO PLATA, DO",6,0,6,28,0,28
S19920155,1992-12-15,"PBN BN-2A 
ISLANDER",MILNE BAY AIR,"NR. ALOTAU,  MILNE BAY, PG",1,0,1,5,0,5
S19920171,1992-12-09,"PBN BN-2B 
ISLANDER",AERO SUD PACIFICO,"URUAPAN,  MICHOACAN, MX",1,0,1,8,0,8
S1992019,1992-08-27,TUPOLEV TU-134A,AEROFLOT - CENTRAL REGIONS DIRECTORATE,"IVANOVO, RU",7,0,7,77,0,77
S1992020,1992-10-19,"ANTONOV (WSK-PZL MIELEC) AN-28
8",SYKTYVKAR AVIA,"UST-NEM AP.,  UST-NEM,  RUSSIA, RU",2,0,2,13,1,14
S19920220,1992-04-10,"PBN BN-2A 
ISLANDER",TAIWAN AIRLINES,"IN SEA OFF ORCHID ISLAND, TW",1,0,2,6,0,8
S1992031,1992-04-04,LET 410UVP TURBOLET,AEROFLOT,"NR. BAYKOVO,  KURIL ISLANDS, RU",0,1,2,1,9,10
S1992064,1992-10-31,"PIPER PA-42 
CHEYENNE III",ALPINE AVIATION,"GRAND JUNCTION,  COLORADO, US",1,0,1,2,0,2
S1993006,1993-06-17,ANTONOV AN-26,TAJIK AIR,"NR. CHOPORTI, 42KM FROM  TBILISI, GE",5,0,5,28,0,28
S1993008,1993-04-23,ANTONOV AN-26,MIAT,"HANGAYN NURUU MTS., NR. HUNGAY, MN",6,0,6,34,0,34
S1993010,1993-02-08,TUPOLEV TU-154M,IRAN AIR TOURS,"NR. KARAJ, NR. TEHRAN, IR",13,0,13,119,0,119
S1993012,1993-08-26,LET 410UVP TURBOLET,SAKHALIN AIRLINES - SAT,"ALDAN AP.,  ALDAN,  YAKUTIA, RU",2,0,2,22,0,22
S1993013,1993-08-27,YAKOVLEV YAK-40,TAJIK AIR,"KHOROG AP.,  KHOROG, TJ",5,0,5,77,4,81
S1993015,1993-09-21,TUPOLEV TU-134A,TRANSAIR GEORGIA,"NR. SUKHUMI, GE",5,0,5,22,0,22
S1993016,1993-09-22,TUPOLEV TU-154B,TRANSAIR GEORGIA,"BABUSHERI AP., SUKHUMI, GE",8,0,12,100,0,120
S19930232,1993-06-09,"PBN BN-2A 
ISLANDER",SOUTH WEST AIR,"GULGUBIP, PG",0,0,1,9,1,10
S19930233,1993-10-13,"PBN BN-2A 
ISLANDER",ISLAND AIRWAYS PTY LTD.,"NR. BANK,  SIMBAI VALLEY, PG",2,0,2,2,0,2
S19930234,1993-12-03,"PBN BN-2A 
ISLANDER",ARCTIC WINGS AND ROTORS LTD,"NR. TUKTOYAKTUK,  NORTHWEST TERRITORIES, CA",1,0,1,6,0,6
S1993027,1993-11-20,YAKOVLEV YAK-42,AVIOIMPEX MAKEDONIJA AIRWAYS,"MT. TROJANI, NR. OHRID, MK",8,0,8,108,0,108
S1993037,1993-12-13,HARBIN Y-12-II,LAO AVIATION,"NR. PHONESAVAN,  XIENG KHOUANG, LA",2,0,2,16,0,16
S1993090,1993-02-07,BEECH 100 KING AIR,TAXI AEREO FLORIANOPOLIS LTDA,"IGUACU, BR",2,0,2,4,0,4
S1993091,1993-03-18,BEECH E90 KING AIR,AERO TAXI IQUITOS,"NR. OTUZCO,  JULCA, PE",1,0,1,3,0,3
S1993108,1993-03-19,BEECH 200 KING AIR,WEST AVIATION,"NR. GEILO, NO",2,0,2,1,3,8
S1993121,1993-06-24,"PILATUS PC6B2 
TURBO PORTER",SATENA,"TARAIRA, CO",2,0,2,1,0,1
S1994001,1994-01-03,TUPOLEV TU-154M,BAIKALAVIA,"MAMONA, 15KM FROM  IRKUTSK, RU",9,0,9,115,0,115
S1994003,1994-02-25,YAKOVLEV YAK-40,EXPRESSO AEREO,"CERRO CARPICH, NR. TINGO MARIA,  HUANUCO, PE",5,0,5,26,0,26
S1994010,1994-06-06,TUPOLEV TU-154M,CHINA NORTHWEST AIRLINES,"NR. MINGDU, 30KM SE OF  XIAN, CN",14,0,14,146,0,146
S19940194,1994-04-25,"PBN BN-2A 
ISLANDER",SMAC,"NR. NANGA PINOH,  WEST KALIMANTAN, ID",1,0,1,9,1,10
S19940196,1994-05-23,"PBN BN-2B 
ISLANDER",ARALL COLOMBIA LTDA,"NR. LOMA LINDA,  MELA, CO",1,1,2,3,6,9
S19940197,1994-07-17,"PBN BN-2B 
ISLANDER",TIA HOLDINGS LTD,"LES PITONS DU CABBET, NR. FORT DE FRANCE, MQ",1,0,1,5,0,5
S19940198,1994-11-22,"PBN BN-2A 
ISLANDER",SOUTHWEST AIR PTY,"54KM ESE OF  TABUBIL, PG",1,0,1,6,0,6
S1994032,1994-09-26,YAKOVLEV YAK-40,CHEREMSHANKA AIRLINES,"CHAMBA RIVER, 41KM NNW OF  VANAVARA, RU",4,0,4,24,0,24
S1994037,1994-10-27,YAKOVLEV YAK-40,DONAVIA,"MAKHACHKALA AP.,  MAKHACHKALA,  DAGESTAN, RU",0,0,5,1,0,22
S1994044,1994-11-05,YAKOVLEV YAK-40,SERVICIOS AEREOS AMAZONICAS,"SAPOSOA RIVER,  SAPOSOA,  SAN MARTIN PROVINCE, PE",1,0,4,5,0,26
