WAAS Subset Event Id,Local Event Date,Aircraft,Aircraft Operator,Event Location,Crew Fatalities,Crew Injured,Crew Aboard,PAX Fatalities,PAX Injuries,PAX Aboard
T1999045,1999-07-24,"EMBRAER EMB-110P1 
BANDEIRANTE",AIR FIJI,"MATAICICIA HILLS, NR. SUVA, FJ",2,0,2,15,0,15
T1999049,1999-09-05,"HAWKER-SIDDELEY 
748 SRS.2B",NECON AIR,"NR. RAMKOT, NP",5,0,5,10,0,10
T1999063,1999-11-12,ATR-42-300,SI FLY,"NR. PRISTINA, YU",3,0,3,21,0,21
T1999070,1999-12-11,BRITISH AEROSPACE ATP,SATA AIR ACORES,"PICO DA ESPERANZA,  SAO JORGE ISLAND,  AZORES, PT",4,0,4,31,0,31
T1999072,1999-12-25,"DHC-6 TWIN OTTER 
300",SKYLINE AIRWAYS,"MT BURJA LEK, NR. BHOJPUR, NP",3,0,3,7,0,7
T2000001,2000-01-10,SAAB 340B,CROSSAIR,"NIEDERHASLI, NR. ZURICH, CH",3,0,3,7,0,7
T2000002,2000-01-13,SHORTS 360-300,AVISTO,"IN SEA, OFF MARSA EL BREGA, LY",1,2,3,21,11,38
T2000003,2000-01-05,"EMBRAER EMB-110P1 
BANDEIRANTE",SKYPOWER EXPRESS AIRWAYS,"ABUJA INTL. AP.,  ABUJA, NG",0,1,3,1,0,13
T2000010,2000-03-17,"DHC-6 TWIN OTTER 
300",AEROPERLAS,"PICO CARRETO, NR. QUINCE, PA",2,0,2,8,0,8
T2000018,2000-05-17,"BEECH COMMUTER 
1900C-1",AVIREX,"NR. MOANDA, GA",1,1,2,2,1,8
T2000019,2000-05-21,B.AE. JETSTREAM 31,EXECUTIVE AIRLINES,"BEAR CREEK TOWNSHIP, NR. WILKES-BARRE,  PENNSYLVANIA, US",2,0,2,17,0,17
T2000025,2000-07-08,B.AE. JETSTREAM SUPER 31,AEROCARIBE,"NR. VILLAHERMOSA, MX",2,0,2,17,0,17
T2000031,2000-07-27,"DHC-6 TWIN OTTER 
300",ROYAL NEPAL AIRLINES,"CHURE HILL, NR. DHANGARHI, NP",3,0,3,22,0,22
T2001009,2001-02-10,"A.S.T.A. (GAF) 
NOMAD N24A",GUM AIR,"NR. JAKOBKONDRE, SR",1,0,1,9,0,9
T2001010,2001-03-17,"BEECH COMMUTER 
1900C-1",SAL EXPRESS,"NR. LUBANGO, AO",2,0,2,14,1,15
T2001013,2001-03-24,"DHC-6 TWIN OTTER 
300",AIR CARAIBES,"NR. ST. BARTHELEMY AP.,  ST. BARTHELEMY, GP",2,0,2,17,0,17
T2001030,2001-08-29,CASA CN-235-200,BINTER MEDITERRANEO,"PABLO RUIZ PICASSO AP.,  MALAGA, ES",1,2,3,3,16,44
T2001063,2001-10-10,"FAIRCHILD SA-226AT 
MERLIN IVA",FLIGHTLINE SA,"IN SEA OFF COLUMBRETES ISLANDS, 154KM NE OF  VALENCIA, ES",2,0,2,8,0,8
T2002031,2002-07-17,"DHC-6 TWIN OTTER 
300",SKYLINE AIRWAYS,"GADGADE HILLS, NR. SURKHET, NP",2,0,2,2,0,2
T2002037,2002-08-22,"DHC-6 TWIN OTTER 
300",SHANGRILA AIR,"NR. POKHARA, NP",3,0,3,15,0,15
T2002038,2002-08-30,"EMBRAER EMB-120 
BRASILIA",RICO LINHAS AEREAS,"BUJARI, NR. RIO BRANCO, BR",3,0,3,20,8,28
T2002066,2002-11-06,FOKKER 50,LUXAIR,"NIEDERANVEN, LU",2,1,3,18,1,19
T2002067,2002-11-11,FOKKER F.27-600,LAOAG INTERNATIONAL AIRWAYS,"IN MANILA BAY,  MANILA, PH",2,1,5,17,3,29
T2003001,2003-01-08,"BEECH COMMUTER 
1900D",AIR MIDWEST,"CHARLOTTE-DOUGLAS INTL. AP.,  CHARLOTTE,  NORTH CAROLINA, US",2,0,2,19,0,19
T2003004,2003-01-24,"GRUMMAN 159 
GULFSTREAM I",AFRICAN COMMUTER SERVICES,"BUSIA AIRSTRIP,  BUSIA, KE",2,1,3,1,8,9
T2003016,2003-03-27,"DHC-6 TWIN OTTER 
300",AIR REGIONAL,"MT. PUNCAK JAYA, NR. GUNUNG MULIA,  PAPUA, ID",1,1,3,4,9,15
T2003045,2003-07-19,"FAIRCHILD SA-226TC 
METRO II",RYAN BLAKE AIR,"LENANA PEAK, MT KENYA, NR. NANYUKI, KE",2,0,2,12,0,12
T2003060,2003-11-08,SHORTS SC.7 SKYVAN 3,TRANS GUYANA AIRWAYS,"SOPHIA DISTRICT,  GEORGETOWN, GY",1,2,3,1,3,4
T2004004,2004-02-10,FOKKER 50,KISH AIR,"NR. SHARJAH, AE",6,0,6,37,3,40
T2004012,2004-05-14,"EMBRAER EMB-120 
BRASILIA",RICO LINHAS AEREAS,"NR. MANAUS, BR",3,0,3,30,0,30
T2004020,2004-06-08,"HAWKER-SIDDELEY 
748 SRS.2A",GABON EXPRESS,"IN SEA, OFF LIBREVILLE, GA",1,0,4,18,0,26
T2004022,2004-05-05,"FAIRCHILD SA-227AC 
METRO III",AEROTRANSPORTES PETROLEROS,"ANTONIO ROLDAN BETANCOURT AP.,  CAREPA, CO",2,0,2,1,4,5
T2004035,2004-10-18,B.AE. JETSTREAM SUPER 31,CORPORATE AIRLINES,"NR. KIRKSVILLE,  MISSOURI, US",2,0,2,11,2,13
T2004038,2004-11-18,B.AE. JETSTREAM 31,VENEZOLANA,"SIMON BOLIVAR INTL. AP.,  CARACAS, VE",0,2,2,4,15,19
T2005015,2005-04-12,"DHC-6 TWIN OTTER 
100",GT AIR,"NR. ENAROTALI, ID",3,0,3,14,0,14
T2005020,2005-05-07,"FAIRCHILD SA-227AC 
METRO 23",AERO-TROPICS AIR SERVICES,"SOUTH PAP RIDGE,  NEAR LOCKHART RIVER,  QUEENSLAND, AU",2,0,2,13,0,13
T2005034,2005-08-06,ATR-72-200,TUNINTER,"IN TYRRHENIAN SEA, 20KM OF FF PALERMO,  SICILY, IT",1,3,4,15,8,35
T2005057,2005-12-19,"GRUMMAN TURBINE 
MALLARD",CHALK'S OCEAN AIRWAYS,"GOVERNMENT CUT,  MIAMI,  FLORIDA, US",2,0,2,18,0,18
T2006030,2006-06-21,"DHC-6 TWIN OTTER 
300",YETI AIRLINES,"NR. JUMLA, NP",3,0,3,6,0,6
T2006032,2006-07-10,FOKKER F.27-600,PAKISTAN INTERNATIONAL AIRLINES,"SURAJ MIANI VILLAGE, NR. MULTAN, PK",4,0,4,41,0,41
T2006054,2006-11-17,"DHC-6 TWIN OTTER 
300",TRIGANA AIR,"MT. GERGAJI, NR. ILLAGA,  PAPUA, ID",3,0,3,9,0,9
T2007027,2007-06-23,"DHC-6 TWIN OTTER 
300",YEMENIA,"AL-NAEEM AP.,  AL-NAEEM, YE",0,2,0,1,3,0
T2007032,2007-07-08,"DHC-6 TWIN OTTER 
100",LIARD AIR,"NORTHERN ROCKIES LODGE AIRSTRIP,  MUNCHO LAKE,  BRITISH COLUMBIA, CA",0,2,2,1,0,3
T2007043,2007-08-09,"DHC-6 TWIN OTTER 
300",AIR MOOREA,"NR. TEMAE AP.,  MOOREA, PF",1,0,1,19,0,19
T2008009,2008-02-21,ATR-42-300,SANTA BARBARA AIRLINES,"LA CARA DEL INDIO, NR. MERIDA, VE",3,0,3,43,0,43
T2008023,2008-05-02,"BEECH COMMUTER 
1900C-1",SOUTHERN SUDAN AIR CONNECTION,"NR. RUMBEK, SD",2,0,2,19,0,19
T2008043,2008-07-10,BEECH 99A,INVERSIONES AERES PATAGONIA,"PUERTO MONTT, CL",1,0,1,8,0,8
T2008060,2008-09-01,"BEECH COMMUTER 
1900C-1",AIR SERV INTERNATIONAL,"MT. KAHUZI, NR. BUKAVU, CD",2,0,2,15,0,15
T2008067,2008-10-08,"DHC-6 TWIN OTTER 
300",YETI AIRLINES,"TENZING-HILLARY AP.,  LUKLA, NP",2,1,3,16,0,16
T2009005,2009-02-07,"EMBRAER EMB-110P1 
BANDEIRANTE",MANAUS AERO TAXI,"MANACAPURU RIVER,  MANACAPURU, BR",2,0,2,22,0,26
T2009006,2009-02-12,DHC DASH 8-400,COLGAN AIR,"CLARENCE CENTER,  NEW YORK, US",4,0,4,45,0,45
T2009039,2009-08-02,"DHC-6 TWIN OTTER 
300",MERPATI NUSANTARA AIRLINES,"NR. AMPISIBIL,  PAPUA, ID",3,0,3,12,0,12
T2009042,2009-08-11,"DHC-6 TWIN OTTER 
300",AIRLINES PNG,"NR. KOKODA, PG",2,0,2,11,0,11
T2010006,2010-01-25,"EMBRAER EMB-110 
BANDEIRANTE",PIQUIATUBA TAXI AEREO,"NR. SENADOR JOSE PORFIRIO, BR",1,0,2,1,0,8
T2010036,2010-06-19,CASA 212-100,AERO SERVICE (CONGO BRAZZAVILLE),"AVIMA RIDGE, NR. YANGADOU, CG",2,0,2,9,0,9
T2010045,2010-08-24,DORNIER 228-100,AGNI AIR,"NR. BASTIPUR, NP",3,0,3,11,0,11
T2010049,2010-09-13,ATR-42-300,CONVIASA,"PUERT ORDAZ, VE",3,0,4,14,0,47
T2010061,2010-11-05,"BEECH COMMUTER 
1900C-1",JS AIR,"GULISTAN-E-JAUHAR,  KARACHI, PK",3,0,3,18,0,18
T2010062,2010-11-04,ATR-72-210,AEROCARIBBEAN,"NR. GUASIMAL, CU",7,0,7,61,0,61
T2010078,2010-12-15,"DHC-6 TWIN OTTER 
300",TARA AIR,"PALUNGE MT, NR. RUMJATAR,  OKHALDHUNGA DISTRICT, NP",3,0,3,19,0,19
T2011005,2011-02-10,"FAIRCHILD SA-227AC 
METRO III",MANX2,"CORK AP.,  CORK,  COUNTY CORK, IE",2,0,2,4,4,10
T2011028,2011-05-18,SAAB 340A,SOL LINEAS AEREAS,"PRAHUANIYEU, 35KM SE OF  LOS MENUCOS,  RIO NEGRO, AR",3,0,3,19,0,19
T2011047,2011-09-06,"FAIRCHILD SA-227AC 
METRO III",AEROCON,"NR. TRINIDAD, BO",2,0,2,6,1,7
T2011050,2011-09-20,BEECH 99A,SALSA D'HAITI,"NR. MILOT, HT",2,0,2,1,0,1
T2011053,2011-09-25,"BEECH COMMUTER 
1900D",BUDDHA AIR,"KOT DANDA HILL, NR. KATHMANDU, NP",3,0,3,16,0,16
T2011054,2011-09-29,IPTN 212-200,NUSANTARA BUANA AIR,"MT. LEUSER, NR. KUTACANE,  NORTH SUMATRA, ID",4,0,4,16,0,16
T2011057,2011-10-13,DHC DASH 8-100,AIRLINES PNG,"35KM SSE OF  MADANG, PG",1,1,4,27,1,28
T20120076,2012-12-22,"FAIRCHILD SA-227AC 
METRO III",PERIMETER AIRLINES,"SANIKILUAQ AP.,  SANIKILUAQ,  NUNAVUT, CA",0,2,2,1,0,7
T2012018,2012-04-02,ATR-72-200,UTAIR,"NR. ROSCHINO INTL. AP.,  TYUMEN, RU",4,0,4,29,10,39
